QuoteNumber,QuoteConversion_Flag
3,0.0108913540164
5,0.0774265800576
7,0.0561106707104
9,0.0301038472605
10,0.509827109205
11,0.0339865133657
15,0.00398580586081
16,0.0501640404912
17,0.0
21,0.0
23,0.116254368365
24,0.14421412964
27,0.00199237472767
31,0.331345666871
33,0.112657093007
34,0.0943597988833
36,0.00248484848485
39,0.00088042011383
42,0.214360339088
43,0.242443395131
46,0.222008810232
48,0.307264896798
49,0.340477992843
52,0.139613589035
54,0.591030883265
55,0.516801884959
56,0.975518953231
58,0.0828357479017
60,0.00102729044834
61,0.0560718592247
63,0.451487638814
67,0.246583788906
68,0.00333333333333
69,0.479681971139
75,0.00222222222222
81,0.0892989031811
82,0.309021375255
98,0.287360584121
100,0.0734922256891
107,0.424963830356
108,0.65755755243
110,0.0810671023005
113,0.0471164342225
115,0.00241161616162
116,0.333069123234
119,0.208023305825
120,0.15748240823
122,0.00499074074074
125,0.981683694084
130,0.065256979288
132,0.336219311914
135,0.0128923645533
137,0.0917833678255
138,0.138713679855
144,0.00391798941799
145,0.34863489927
146,0.0579496932533
150,0.123082292573
155,0.0101234615827
158,0.215443180929
159,0.00333333333333
160,0.0993999286755
162,0.375269243023
163,0.00924924465837
164,0.00168213268213
165,0.0132974726368
168,0.0332834764896
172,0.158252693222
173,0.966526228937
174,0.0452545759655
175,0.0664711741559
176,0.20470753819
178,0.00333333333333
181,0.0275229885057
183,0.0988794383461
190,0.554247579671
198,0.0971074675876
200,0.041085250318
201,0.000833333333333
204,0.311182437036
205,0.563214475902
207,0.986480100455
210,0.169921839143
211,0.866524018445
213,0.0199412891593
215,0.13338124142
218,0.00171030961792
222,0.00198095238095
223,0.116141075354
227,0.877432169194
228,0.00263425925926
231,0.513974659584
238,0.21942040663
241,0.00100548245614
245,0.08019065446
253,0.0
257,0.450213801344
263,0.197198588496
264,0.0065811965812
265,0.0
274,0.0640240488854
275,0.593425705235
276,0.107698800007
279,0.150746295394
280,0.00444444444444
282,0.162196991055
283,0.307125532206
285,0.418203352993
289,0.0781100256516
290,0.0381793361867
292,0.272828022541
294,0.975563759854
301,0.934565091819
304,0.059977838408
307,0.116935507293
309,0.400077258473
310,0.00103703703704
311,0.153414674477
312,0.00638675213675
314,0.0490665437319
316,0.0228255223793
318,0.971090842174
321,0.0370783911645
326,0.01
330,0.00444444444444
331,0.00333333333333
332,0.0720017266718
333,0.102346344257
337,0.789752821328
338,0.0545113062872
339,0.0813335864881
340,0.010839874386
344,0.482026164007
346,0.41351330254
348,0.118307317358
349,0.0680935468184
350,0.1784154263
351,0.00485241301908
352,0.0
355,0.0619122318048
358,0.0295545560568
361,0.114151625476
363,0.133396395453
364,0.957400109968
365,0.00350374927005
366,0.00433333333333
367,0.00205909090909
368,0.354676930903
371,0.940152068549
374,0.859705309134
378,0.00391222339752
380,0.181282114179
382,0.973099612873
385,0.0829966923642
390,0.196332581438
393,0.0089069285834
401,0.258537832951
402,0.000735492577598
403,0.0727378433797
